CANAL;LISTA;AUDIO;NOMBRE;CAMPAIGN
IVR;5000;AudioEjemplo_1;IVR CLARO 1;696909
IVR;5021;AudioEjemplo_2;IVR CLARO 2;696908
IVR;5041;AudioEjemplo_3;IVR CLARO 3;696902
IVR;5061;AudioEjemplo_4;IVR CLARO 4;696910
IVR;5081;AudioEjemplo_5;IVR CLARO 5;696906
IVR;5101;AudioEjemplo_6;IVR CLARO 6;696911
IVR;5121;AudioEjemplo_7;IVR CLARO 7;696922
IVR;5141;AudioEjemplo_8;IVR CLARO 8;696912
IVR;5161;AudioEjemplo_9;IVR CLARO 9;696913
IVR;5181;AudioEjemplo_10;IVR CLARO 10;696914
IVR;5201;AudioEjemplo_11;IVR CLARO 11;696915
IVR;5221;AudioEjemplo_12;IVR CLARO 12;696916
IVR;5241;AudioEjemplo_13;IVR CLARO 13;696917
IVR;5261;AudioEjemplo_14;IVR CLARO 14;696903
IVR;5281;AudioEjemplo_15;IVR CLARO 15;696905
IVR;5301;AudioEjemplo_16;IVR CLARO 16;696904
IVR;5321;AudioEjemplo_17;IVR CLARO 17;696919
IVR;5341;AudioEjemplo_18;IVR CLARO 18;696920
IVR;5361;AudioEjemplo_19;IVR CLARO 19;696918
IVR;5381;AudioEjemplo_20;IVR CLARO 20;696921
IVR;5461;AudioEjemplo_21;IVR CLARO 21;696907
TRANS;4000;1AudioTrans;TRANS CLARO 1;696948
TRANS;4021;2AudioTrans;TRANS CLARO 2;696957
TRANS;4041;3AudioTrans;TRANS CLARO 3;696944
TRANS;4061;4AudioTrans;TRANS CLARO 4;696945
TRANS;4081;5AudioTrans;TRANS CLARO 5;696953
TRANS;4101;6AudioTrans;TRANS CLARO 6;696955
TRANS;4121;7AudioTrans;TRANS CLARO 7;696958
TRANS;4141;8AudioTrans;TRANS CLARO 8;696941
TRANS;4161;9AudioTrans;TRANS CLARO 9;696940
TRANS;4186;10AudioTrans;TRANS CLARO 10;696950
TRANS;4191;11AudioTrans;TRANS CLARO 11;696946
TRANS;4251;12AudioTrans;TRANS GMAC;696949
TRANS;5421;13AudioTrans;TRANS CLARO 13;696952
TRANS;5441;14AudioTrans;TRANS CLARO 14;696951
TRANS;5401;15AudioTrans;TRANS CLARO 15;696943
TRANS;4196;16AudioTrans;TRANS CLARO 12;696947
TRANS;5461;17AudioTrans;TRANS PUNTORED ACT;696956
TRANS;5481;18AudioTrans;TRANS PUNTO RED COB;696954
TRANS;5500;19AudioTrans;TEXT TO SPEECH 1;N/A
TRANS;5510;20AudioTrans;TEXT TO SPEECH 2;N/A
TRANS;5520;21AudioTrans;TEXT TO SPEECH 3;N/A
TRANS;4181;22AudioTrans;TRANS PASH;696942
